지역코드,지역명,구,인구
1,서울,종로구,168879
1,서울,중구,130370
1,서울,용산구,226540
1,서울,성동구,322990
1,서울,광진구,380164
1,서울,동대문구,366282
1,서울,중랑구,440018
1,서울,성북구,459011
1,서울,강북구,340327
1,서울,도봉구,352098
1,서울,노원구,605825
1,서울,은평구,442089
1,서울,서대문구,348769
1,서울,마포구,365398
1,서울,양천구,458998
1,서울,강서구,503775
1,서울,구로구,390275
1,서울,금천구,265365
1,서울,영등포구,387404
1,서울,동작구,400351
1,서울,관악구,503957
1,서울,서초구,367096
1,서울,강남구,521436
1,서울,송파구,632983
1,서울,강동구,473572
2,부산,중구,57669
2,부산,서구,147647
2,부산,동구,121398
2,부산,영도구,177636
2,부산,부산진구,415457
2,부산,동래구,289183
2,부산,남구,289452
2,부산,북구,298539
2,부산,해운대구,395405
2,부산,사하구,374476
2,부산,금정구,284065
2,부산,강서구,53590
2,부산,연제구,215206
2,부산,수영구,175154
2,부산,사상구,292685
2,부산,기장군,67875
3,대구,중구,86014
3,대구,동구,334487
3,대구,서구,281638
3,대구,남구,191775
3,대구,북구,399519
3,대구,수성구,448493
3,대구,달서구,584392
3,대구,달성군,147672
4,인천,중구,65775
4,인천,동구,72792
4,인천,남구,408835
4,인천,연수구,259790
4,인천,남동구,395289
4,인천,부평구,528403
4,인천,계양구,326522
4,인천,서구,335339
4,인천,강화군,60289
4,인천,옹진군,13304
5,광주,동구,116332
5,광주,서구,280676
5,광주,남구,229318
5,광주,북구,477591
5,광주,광산구,247031
6,대전,동구,247143
6,대전,중구,253673
6,대전,서구,470327
6,대전,유성구,161591
6,대전,대덕구,233227
7,울산,중구,227244
7,울산,남구,323761
7,울산,동구,182658
7,울산,북구,118088
7,울산,울주군,160359
